"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Ronald Powell","Rancho Verde (Moreno Valley, CA)","WDE","6-4","230",5,"0.9999","Florida"
2,"Seantrel Henderson","Cretin Derham Hall (Saint Paul, MN)","OT","6-8","330",5,"0.9987","Miami"
3,"Robert Woods","Junipero Serra (Gardena, CA)","ATH","6-1","180",5,"0.9986","USC"
4,"Dominique Easley","Curtis (Staten Island, NY)","DT","6-3","258",5,"0.9978","Florida"
5,"Jackson Jeffcoat","Plano West (Plano, TX)","SDE","6-3","230",5,"0.9976","Texas"
6,"Sharrif Floyd","George Washington (Philadelphia, PA)","SDE","6-3","310",5,"0.9966","Florida"
7,"Jordan Hicks","Lakota West (West Chester, OH)","OLB","6-2","220",5,"0.9961","Texas"
8,"Michael Dyer","Little Rock Christian Academy (Little Rock, AR)","RB","5-9","212",5,"0.9960","Auburn"
9,"Marcus Lattimore","Byrnes (Duncan, SC)","APB","6-0","215",5,"0.9950","South Carolina"
10,"Keenan Allen","Northern Guilford (Greensboro, NC)","S","6-2","195",5,"0.9944","California"
11,"Kyle Prater","Proviso West (Hillside, IL)","WR","6-5","205",5,"0.9941","USC"
12,"Lamarcus Joyner","St. Thomas Aquinas (Miami, FL)","ATH","5-8","175",5,"0.9940","Florida State"
13,"Mike Davis","Skyline (Dallas, TX)","WR","6-1","185",5,"0.9938","Texas"
14,"Dee Milliner","Stanhope Elmore (Millbrook, AL)","CB","6-1","196",5,"0.9930","Alabama"
15,"Matt Elam","Dwyer (Palm Beach Gardens, FL)","S","6-0","205",5,"0.9923","Florida"
16,"Da'Rick Rogers","Calhoun (Calhoun, GA)","WR","6-3","215",5,"0.9922","Tennessee"
17,"Owamagbe Odighizuwa","Douglas (Portland, OR)","SDE","6-3","234",5,"0.9909","UCLA"
18,"William Gholston","Southeastern (Detroit, MI)","SDE","6-7","237",5,"0.9892","Michigan State"
19,"Alec Ogletree","Newnan (Newnan, GA)","ILB","6-3","210",5,"0.9885","Georgia"
20,"Xavier Grimble","Bishop Gorman (Las Vegas, NV)","TE","6-6","245",5,"0.9873","USC"
21,"Christian Jones","Lake Howell (Winter Park, FL)","OLB","6-4","220",5,"0.9869","Florida State"
22,"Josh Shaw","Palmdale (Palmdale, CA)","CB","6-1","195",5,"0.9863","Florida"
23,"Trovon Reed","Thibodaux (Thibodaux, LA)","ATH","6-0","185",5,"0.9858","Auburn"
24,"George Uko","Don Lugo (Chino, CA)","DT","6-4","300",5,"0.9855","USC"
25,"Reggie Wilson","Haltom (Fort Worth, TX)","SDE","6-2","240",5,"0.9854","Texas"
26,"Jeff Luc","Treasure Coast (Port Saint Lucie, FL)","ILB","6-0","249",5,"0.9852","Florida State"
27,"Darius White","Dunbar (Fort Worth, TX)","WR","6-2","205",5,"0.9850","Texas"
28,"Ja'Wuan James","North Gwinnett (Suwanee, GA)","OT","6-7","315",5,"0.9846","Tennessee"
29,"Phillip Sims","Oscar Smith (Chesapeake, VA)","PRO","6-2","217",5,"0.9841","Alabama"
30,"Robert Crisp","Cedar Ridge (Hillsborough, NC)","OT","6-7","299",5,"0.9838","N.C. State"
31,"Lache Seastrunk","Temple (Temple, TX)","RB","5-11","190",5,"0.9835","Oregon"
32,"Dillon Baxter","Mission Bay (San Diego, CA)","APB","5-11","187",4,"0.9828","USC"
33,"Justin Hunter","Ocean Lakes (Virginia Beach, VA)","WR","6-4","183",4,"0.9825","Tennessee"
34,"Christian Green","Tampa Catholic (Tampa, FL)","ATH","6-2","200",4,"0.9814","Florida State"
35,"John Fulton","Manning  (Manning, SC)","CB","6-0","187",4,"0.9807","Alabama"
36,"Chris Dunkley","Pahokee (Pahokee, FL)","WR","5-11","170",4,"0.9804","Florida"
37,"James Hurst","Plainfield (Plainfield, IN)","OT","6-7","284",4,"0.9801","North Carolina"
38,"Jake Matthews","Elkins (Missouri City, TX)","OT","6-5","285",4,"0.9795","Texas A&M"
39,"Jaylen Watkins","Cape Coral (Cape Coral, FL)","CB","6-1","172",4,"0.9793","Florida"
40,"Markeith Ambles","Henry County (McDonough, GA)","WR","6-2","182",4,"0.9785","USC"
41,"Tony Jefferson","Eastlake (Chula Vista, CA)","S","5-11","196",4,"0.9784","Oklahoma"
42,"Chaz Green","Tampa Catholic (Tampa, FL)","OT","6-6","290",4,"0.9771","Florida"
43,"Chris Martin","Grandview (Aurora, CO)","SDE","6-4","240",4,"0.9755","Florida"
44,"Rod Smith","Paul Harding (Fort Wayne, IN)","RB","6-3","220",4,"0.9753","Ohio State"
45,"Demarco Cobbs","Central (Tulsa, OK)","ATH","6-1","198",4,"0.9750","Texas"
46,"Jordon James","Corona (Corona, CA)","RB","5-10","190",4,"0.9742","UCLA"
47,"Malcolm Jones","Oaks Christian (Thousand Oaks, CA)","RB","6-1","210",4,"0.9736","UCLA"
48,"D.J. Morgan","Taft  (Woodland Hills, CA)","APB","5-11","175",4,"0.9732","USC"
49,"Jonathan Dowling","Southeast (Bradenton, FL)","S","6-4","185",4,"0.9728","Florida"
50,"Gerald Christian","Dwyer (Palm Beach Gardens, FL)","TE","6-3","220",4,"0.9725","Florida"
51,"Brennan Clay","Scripps Ranch (San Diego, CA)","RB","5-11","194",4,"0.9722","Oklahoma"
52,"Ahmad Dixon","Midway (Waco, TX)","S","6-1","190",4,"0.9719","Baylor"
53,"Corey Lemonier","Hialeah (Hialeah, FL)","WDE","6-4","234",4,"0.9715","Auburn"
54,"Luke Joeckel","Arlington (Arlington, TX)","OT","6-6","280",4,"0.9712","Texas A&M"
55,"Eric Reid","Dutchtown (Geismar, LA)","S","6-2","210",4,"0.9707","LSU"
56,"Tevin Jackson","Garland (Garland, TX)","OLB","6-3","230",4,"0.9705","Texas"
57,"Corey Miller","Byrnes (Duncan, SC)","WDE","6-3","255",4,"0.9701","Tennessee"
58,"Cecil Whiteside","Newport Harbor (Newport Beach, CA)","OLB","6-3","220",4,"0.9698","California"
59,"Curtis White","Sheldon (Eugene, OR)","TE","6-5","240",4,"0.9692","Oregon"
60,"Ian Silberman","Fleming Island (Orange Park, FL)","OT","6-5","257",4,"0.9685","Florida"
61,"Anthony Barr","Loyola (Los Angeles, CA)","ATH","6-4","230",4,"0.9684","UCLA"
62,"C.J. Fiedorowicz","Johnsburg (Mchenry, IL)","TE","6-5","250",4,"0.9680","Iowa"
63,"Louis Nix III","Raines (Jacksonville, FL)","DT","6-2","230",4,"0.9675","Notre Dame"
64,"Blake Bell","Bishop Carroll (Wichita, KS)","DUAL","6-6","215",4,"0.9667","Oklahoma"
65,"Khairi Fortt","Stamford (Stamford, CT)","OLB","6-2","225",4,"0.9664","Penn State"
66,"Ivan McCartney","Miramar (Hollywood, FL)","WR","6-3","183",4,"0.9660","West Virginia"
67,"Devin Gardner","Inkster (Inkster, MI)","DUAL","6-4","195",4,"0.9656","Michigan"
68,"Justin McCay","Bishop Miege (Mission, KS)","ATH","6-3","197",4,"0.9647","Oklahoma"
69,"Corey Nelson","Skyline (Dallas, TX)","OLB","6-0","210",4,"0.9646","Oklahoma"
70,"T.J. Stripling","Southwest DeKalb (Decatur, GA)","WDE","6-6","215",4,"0.9644","Georgia"
71,"Trey Hopkins","North Shore (Galena Park, TX)","OG","6-4","270",4,"0.9643","Texas"
72,"Ashton Dorsey","John Tyler (Tyler, TX)","DT","6-2","276",4,"0.9643","Texas"
73,"Jesse Scroggins","Lakewood (Lakewood, CA)","PRO","6-3","195",4,"0.9637","USC"
74,"Ricky Heimuli","Brighton (Glendale, UT)","DT","6-4","280",4,"0.9636","Oregon"
75,"Ego Ferguson","Hargrave Military Academy (HS) (Chatham, VA)","SDE","6-3","272",4,"0.9629","LSU"
76,"C.J. Mosley","Theodore (Theodore, AL)","ILB","6-2","234",4,"0.9628","Alabama"
77,"Alfy Hill","West Brunswick (Shallotte, NC)","SDE","6-4","245",4,"0.9627","Alabama"
78,"Brent Benedict","The Bolles School (Jacksonville, FL)","OT","6-5","278",4,"0.9623","Georgia"
79,"Andrew Norwell","Anderson (Cincinnati, OH)","OT","6-5","308",4,"0.9615","Ohio State"
80,"Chris Jones","Daingerfield (Daingerfield, TX)","WR","6-0","172",4,"0.9614","Texas"
81,"Mack Brown","Martin Luther King Jr. (Lithonia, GA)","APB","5-11","185",4,"0.9602","Florida"
82,"Spencer Ware","Princeton (Cincinnati, OH)","ATH","5-11","223",4,"0.9593","LSU"
83,"Demar Dorsey","Boyd Anderson (Fort Lauderdale, FL)","S","6-1","175",4,"0.9590","Michigan"
84,"T.J. Jones","Gainesville (Gainesville, GA)","WR","6-0","184",4,"0.9579","Notre Dame"
85,"Adrian Hubbard","Norcross (Norcross, GA)","OLB","6-6","237",4,"0.9576","Alabama"
86,"Silas Redd","King & Low Heywood Thomas (Stamford, CT)","RB","5-10","200",4,"0.9565","Penn State"
87,"Kadron Boone","Trinity Catholic (Ocala, FL)","WR","6-1","190",4,"0.9560","LSU"
88,"Rob Bolden","St. Mary's (West Bloomfield, MI)","DUAL","6-4","200",4,"0.9549","Penn State"
89,"Jake Heaps","Skyline (Sammamish, WA)","PRO","6-2","195",4,"0.9547","Brigham Young"
90,"Garrison Smith","Douglass (Atlanta, GA)","DT","6-3","250",4,"0.9546","Georgia"
91,"Taylor Bible","Guyer (Denton, TX)","DT","6-3","280",4,"0.9543","Texas"
92,"Austin Haywood","Southmoore (Moore, OK)","TE","6-5","245",4,"0.9542","Oklahoma"
93,"Shon Coleman","Olive Branch (Olive Branch, MS)","OT","6-7","280",4,"0.9528","Auburn"
94,"Dietrich Riley","St. Francis (La Canada Flintridge, CA)","S","6-1","195",4,"0.9521","UCLA"
95,"Demetrius Wright","Corona (Corona, CA)","S","6-1","201",4,"0.9508","USC"
96,"Kenny Shaw","Dr. Phillips (Orlando, FL)","WR","6-0","160",4,"0.9503","Florida State"
97,"Terrence Mitchell","Hillsborough (Tampa, FL)","CB","5-10","165",4,"0.9498","USF"
98,"Latwan Anderson","Glenville (Cleveland, OH)","ATH","5-9","185",4,"0.9497","Miami"
99,"Shaun Lewis","Hightower (Missouri City, TX)","OLB","6-1","205",4,"0.9484","Oklahoma State"
100,"DeAndrew White","North Shore (Houston, TX)","WR","6-0","180",4,"0.9482","Alabama"
101,"Jeffrey Whitaker","Warner Robins (Warner Robins, GA)","DT","6-3","310",4,"0.9479","Auburn"
102,"Leon Orr","Gulf (New Port Richey, FL)","DT","6-4","300",4,"0.9478","Florida"
103,"Brandon Willis","Byrnes (Duncan, SC)","SDE","6-3","255",4,"0.9473","North Carolina"
104,"Matt James","St. Xavier (Cincinnati, OH)","OT","6-8","290",4,"0.9471","Notre Dame"
105,"Damien Robinson","Olive Branch (Olive Branch, MS)","OT","6-6","330",4,"0.9469","Mississippi State"
106,"Blake Lueders","Zionsville (Zionsville, IN)","SDE","6-5","250",4,"0.9467","Stanford"
107,"Sean Parker","Narbonne (Harbor City, CA)","S","5-10","185",4,"0.9466","Washington"
108,"Cody Riggs","St. Thomas Aquinas (Fort Lauderdale, FL)","CB","5-9","156",4,"0.9463","Florida"
109,"Corey Brown","Cardinal O'Hara (Springfield, PA)","ATH","6-1","184",4,"0.9454","Ohio State"
110,"Kenny Stills","La Costa Canyon (Encinitas, CA)","WR","6-1","175",4,"0.9447","Oklahoma"
111,"Cassius Marsh","Oaks Christian (Thousand Oaks, CA)","DT","6-3","275",4,"0.9441","UCLA"
112,"Jacques Smith","Ooltewah (Ooltewah, TN)","WDE","6-2","248",4,"0.9439","Tennessee"
113,"Nick Demien","Timberland (Wentzville, MO)","OT","6-6","295",4,"0.9436","Missouri"
114,"Martavis Bryant","T L Hanna (Anderson, SC)","WR","6-4","195",4,"0.9423","Clemson"
115,"Skyler Burkland","Big Walnut (Sunbury, OH)","OT","6-7","315",4,"0.9414","Michigan State"
116,"Cedric Ogbuehi","Allen (Allen, TX)","OT","6-5","270",4,"0.9412","Texas A&M"
117,"Tharold Simon","Eunice (Eunice, LA)","ATH","6-4","185",4,"0.9409","LSU"
118,"Adrian White","DeSoto (DeSoto, TX)","CB","5-10","171",4,"0.9394","Texas"
119,"Andrew Rodriguez","Aurora (Aurora, NE)","OT","6-6","298",4,"0.9392","Nebraska"
120,"Adrian Coxson","Baltimore City College (Baltimore, MD)","WR","6-2","194",4,"0.9383","Florida"
121,"Miles Dieffenbach","Fox Chapel Area (Pittsburgh, PA)","OC","6-5","277",4,"0.9383","Penn State"
122,"Jarrick Williams","Blount (Eight Mile, AL)","S","6-1","210",4,"0.9382","Alabama"
123,"Anthony Wilkerson","Tustin (Tustin, CA)","RB","6-0","210",4,"0.9378","Stanford"
124,"Cullen Christian","Penn Hills (Pittsburgh, PA)","CB","6-0","180",4,"0.9377","Michigan"
125,"Ross Apo","The Oakridge School (Arlington, TX)","WR","6-4","190",4,"0.9375","Brigham Young"
126,"Christian Bryant","Glenville (Cleveland, OH)","CB","5-11","178",4,"0.9369","Ohio State"
127,"James Louis","Atlantic (Delray Beach, FL)","WR","5-10","176",4,"0.9369","Ohio State"
128,"Carrington Byndom","Lufkin (Lufkin, TX)","CB","6-0","165",4,"0.9367","Texas"
129,"Aaron Benson","Cedar Hill (Chatfield, TX)","OLB","6-2","205",4,"0.9362","Texas"
130,"Brandon Linder","St. Thomas Aquinas (Fort Lauderdale, FL)","OC","6-6","290",4,"0.9362","Miami"
131,"A.J. Cann","Bamberg Ehrhardt (Bamberg, SC)","OC","6-2","285",4,"0.9361","South Carolina"
132,"Sione Potoa'e","Lakes (Lakewood, WA)","DT","6-2","266",4,"0.9360","Washington"
133,"Darious Cummings","Astronaut (Titusville, FL)","SDE","6-3","267",4,"0.9358","Florida State"
134,"Connor Wood","Second Baptist (Houston, TX)","PRO","6-4","209",4,"0.9345","Texas"
135,"Dior Mathis","Cass Technical (Detroit, MI)","CB","5-9","166",4,"0.9340","Oregon"
136,"Gabe King","South Eugene (Eugene, OR)","SDE","6-6","253",4,"0.9339","California"
137,"Paul Jones","Sto-Rox (Mckees Rocks, PA)","PRO","6-3","226",4,"0.9330","Penn State"
138,"Nickell Robey","Frostproof (Frostproof, FL)","CB","5-8","165",4,"0.9327","USC"
139,"Antonio Goodwin","Washington (Atlanta, GA)","WR","6-1","173",4,"0.9321","Auburn"
140,"Ken Malcome","Southwest DeKalb (Decatur, GA)","RB","6-0","213",4,"0.9316","Georgia"
141,"Marquis Flowers","Millennium (Goodyear, AZ)","S","6-3","200",4,"0.9316","Arizona"
142,"LaDarius Owens","Jess Lanier (Hueytown, AL)","WDE","6-2","247",4,"0.9313","Auburn"
143,"Roy Finch","Niceville (Niceville, FL)","APB","5-8","180",4,"0.9313","Oklahoma"
144,"Christian Thomas","Highland (Palmdale, CA)","TE","6-3","235",4,"0.9311","USC"
145,"Randall Telfer","Rancho Cucamonga (Rancho Cucamonga, CA)","TE","6-4","220",4,"0.9305","USC"
146,"Aramide Olaniyan","Woodberry Forest (Woodberry Forest, VA)","OLB","6-2","202",4,"0.9291","UCLA"
147,"Lynden Trail","Booker T. Washington (Miami, FL)","WDE","6-7","220",4,"0.9285","Florida"
148,"Bronson Irwin","Mustang (Mustang, OK)","OG","6-5","322",4,"0.9283","Oklahoma"
149,"Bronson Kaufusi","Timpview (Provo, UT)","SDE","6-6","250",4,"0.9280","Brigham Young"
150,"Solomon Patton","Murphy (Mobile, AL)","WR","5-10","175",4,"0.9279","Florida"
151,"Matt Milton","Mascoutah (Mascoutah, IL)","WR","6-6","200",4,"0.9267","Tennessee"
152,"Josh Shirley","Kaiser (Fontana, CA)","OLB","6-3","220",4,"0.9264","Washington"
153,"Justin Maclin","Ridgeway (Memphis, TN)","WDE","6-4","215",4,"0.9262","LSU"
154,"Jordan Allen","West Monroe (West Monroe, LA)","SDE","6-6","266",4,"0.9261","LSU"
155,"Dakota Royer","Manheim Central (Manheim, PA)","WDE","6-3","211",4,"0.9258","Penn State"
156,"Evan Washington","DeSoto (DeSoto, TX)","OT","6-5","290",4,"0.9256","LSU"
157,"Eduardo Clements","Booker T. Washington (Miami, FL)","RB","5-10","185",4,"0.9249","Miami"
158,"Adrian Phillips","Garland (Garland, TX)","ATH","5-11","199",4,"0.9248","Texas"
159,"Bryant Jackson","Sulphur Springs (Sulphur Springs, TX)","S","6-3","175",4,"0.9243","Texas"
160,"Vincent Sanders","Noxubee County (Macon, MS)","WR","6-3","182",4,"0.9242","Ole Miss"
161,"Christian Lombard","Palatine (Palatine, IL)","OG","6-5","290",4,"0.9233","Notre Dame"
