"ranking","name","highSchool","position","height","weight","stars","rating","college"
1,"Cordarrelle Patterson","Hutchinson C.C. (Rock Hill, SC)","WR","6-3","205",4,"0.9671","Tennessee"
2,"Gerald Bowman","Los Angeles Pierce College (Woodland Hills, CA)","S","6-1","210",4,"0.9637","USC"
3,"Denico Autry","East Mississippi C.C. (Scooba, MS)","WDE","6-5","255",4,"0.9637","Mississippi State"
4,"Tavadis Glenn","Jones County J.C. (Ellisville, MS)","DT","6-5","315",4,"0.9300","uncommitted"
5,"Travell Dixon","Eastern Arizona College (Miami, FL)","CB","6-2","200",4,"0.9282","Alabama"
6,"Marion Grice","Blinn College (Brenham, TX)","RB","6-0","215",4,"0.9208","Arizona State"
7,"Javon Bell","Mississippi Gulf Coast C.C. (Jacksonville, FL)","WR","6-0","170",4,"0.9093","Texas Tech"
8,"Blake Jackson","Scottsdale C.C. (Scottsdale, AZ)","TE","6-4","235",4,"0.9060","Oklahoma State"
9,"Kasseim Everett","Los Angeles Pierce College (Woodland Hills, CA)","CB","5-11","180",4,"0.9060","Oklahoma"
10,"Kyle Long","Saddleback College (Mission Viejo, CA)","OT","6-7","297",4,"0.9060","Oregon"
11,"Damien Jacobs","East Mississippi C.C. (Gray, LA)","DT","6-4","300",4,"0.8967","Florida"
12,"Mohammed Seisay","Eastern Arizona College (Thatcher, AZ)","CB","6-2","200",4,"0.8952","Nebraska"
13,"Will Latu","College of the Canyons (Valencia, CA)","OT","6-5","330",4,"0.8919","Oklahoma"
14,"Menelik Watson","Saddleback College (Mission Viejo, CA)","OT","6-7","336",4,"0.8904","Florida State"
15,"Justin Turner","Scottsdale C.C. (Scottsdale, AZ)","S","6-2","200",4,"0.8900","uncommitted"
16,"Kelvin York","Fullerton College (Fullerton, CA)","RB","6-0","222",3,"0.8811","Utah"
17,"Terrell Mitchell","Fort Scott C.C. (Powder Springs, GA)","TE","6-6","255",3,"0.8800","Florida Atlantic"
18,"Deion Belue","Northeast Mississippi C.C. (Tuscumbia, AL)","CB","6-0","180",3,"0.8797","Alabama"
19,"Daniel McCullers","Georgia Military College (Raleigh, NC)","DT","6-6","390",3,"0.8785","Tennessee"
20,"Tramain Jacobs","Mississippi Gulf Coast C.C. (Perkinston, MS)","CB","6-0","188",3,"0.8771","Texas A&M"
21,"Darrington Sentimore","Mississippi Gulf Coast C.C. (Destrehan, LA)","DT","6-3","270",3,"0.8771","Tennessee"
22,"Chaz Nelson","Garden City C.C.  (Garden City, KS)","SDE","6-3","240",3,"0.8771","Oklahoma"
23,"Daniel Glauser","New Mexico Military Institute (Roswell, NM)","OT","6-6","315",3,"0.8759","Florida State"
